User ID,Vehicle Model,Battery Capacity (kWh),Charging Station ID,Charging Station Location,Charging Start Time,Charging End Time,Energy Consumed (kWh),Charging Duration (hours),Charging Rate (kW),Charging Cost (USD),Time of Day,Day of Week,State of Charge (Start %),State of Charge (End %),Distance Driven (since last charge) (km),Temperature (°C),Vehicle Age (years),Charger Type,User Type
User_103,BMW i3,75,Station_126,Chicago,01/05/2024 6:00,01/05/2024 8:28,46.78,3.12,32.08,18.59,Morning,Wednesday,77.52,56.73,246.22,27.27,4,Level 2,Long-Distance Traveler
User_104,Nissan Leaf,95.15,Station_444,New York,01/05/2024 7:00,01/05/2024 7:52,8.47,1.96,16.02,31.24,Night,Thursday,84.4,73.57,297.55,22.17,1,Level 2,Long-Distance Traveler
User_105,Tesla Model 3,85,Station_209,New York,01/05/2024 8:00,01/05/2024 11:04,61.7,2.53,30.78,22.49,Evening,Sunday,84.27,57.22,208.65,28.31,6,Level 2,Commuter
User_106,Hyundai Kona,62,Station_97,San Francisco,01/05/2024 9:00,01/05/2024 12:35,41.26,3.6,29.08,29.02,Night,Sunday,64.42,73.24,268.52,19.64,6,DC Fast Charger,Long-Distance Traveler
User_107,Chevy Bolt,85,Station_74,Chicago,01/05/2024 10:00,01/05/2024 11:06,6.5,1.49,35.93,35.24,Afternoon,Wednesday,67.52,57.35,204.77,35.96,6,DC Fast Charger,Long-Distance Traveler
User_108,BMW i3,147.4,Station_115,San Francisco,01/05/2024 11:00,01/05/2024 13:43,65.89,3.15,24.83,11.04,Evening,Tuesday,27.38,64.7,74.92,13.42,6,Level 1,Long-Distance Traveler
User_109,Chevy Bolt,50,Station_191,San Francisco,01/05/2024 12:00,01/05/2024 13:34,13.26,3.07,47.67,32.91,Afternoon,Thursday,25,90.02,220.67,31.87,3,DC Fast Charger,Commuter
User_110,Chevy Bolt,85,Station_495,Los Angeles,01/05/2024 13:00,01/05/2024 15:43,,3.29,49.88,13.28,Night,Sunday,59.85,56.29,137.14,0.03,5,Level 1,Long-Distance Traveler
User_111,Tesla Model 3,62,Station_170,Los Angeles,01/05/2024 14:00,01/05/2024 17:27,27.43,0.91,32.17,19.78,Evening,Tuesday,74.65,10.08,216.07,-4.15,5,Level 1,Long-Distance Traveler
User_112,Chevy Bolt,100,Station_307,Chicago,01/05/2024 15:00,01/05/2024 15:51,7.36,2.43,11.48,13.79,Afternoon,Monday,77.49,71.63,166.67,-7.81,5,Level 2,Commuter
User_113,Hyundai Kona,100,Station_448,Houston,01/05/2024 16:00,01/05/2024 18:14,36.14,2.45,36.38,7.87,Night,Sunday,48.61,95.83,48.12,32.31,1,DC Fast Charger,Casual Driver
User_114,Chevy Bolt,85,Station_204,Los Angeles,01/05/2024 17:00,01/05/2024 18:57,29.17,1.84,28.5,9.16,Evening,Saturday,64.07,83.79,242,42.74,5,DC Fast Charger,Long-Distance Traveler
User_115,Tesla Model 3,85,Station_56,Houston,01/05/2024 18:00,01/05/2024 21:02,43.45,1.41,,34.68,Morning,Friday,55.71,52.81,38.2,19.87,5,Level 1,Casual Driver
User_116,Hyundai Kona,100,Station_208,New York,01/05/2024 19:00,01/05/2024 21:34,26.87,2.46,12.05,17.54,Morning,Monday,28.18,54.56,289.57,7.79,3,Level 1,Long-Distance Traveler
User_117,Nissan Leaf,85,Station_41,Los Angeles,01/05/2024 20:00,01/05/2024 21:48,17.93,2.78,25.58,25.5,Morning,Saturday,29.95,76.88,104.4,38.36,7,DC Fast Charger,Commuter
User_118,Chevy Bolt,50,Station_32,Los Angeles,01/05/2024 21:00,01/05/2024 22:59,60.47,3.19,,15.89,Afternoon,Saturday,74.54,79.37,84.38,32.84,2,Level 1,Casual Driver
User_119,Tesla Model 3,50,Station_15,Chicago,01/05/2024 22:00,01/06/2024 1:49,17.7,3.46,19.71,19.92,Afternoon,Tuesday,47.81,79.37,258.65,-9.35,7,DC Fast Charger,Commuter
User_120,Nissan Leaf,63.1,Station_62,Houston,01/05/2024 23:00,01/06/2024 0:20,47.71,1.18,,15.35,Night,Wednesday,49.54,57.94,214.47,34.28,1,DC Fast Charger,Casual Driver
User_121,Nissan Leaf,85,Station_155,Los Angeles,01/06/2024 0:00,01/06/2024 3:25,71.19,1.43,10.3,5.14,Morning,Friday,36.88,73.97,276.22,-4.81,6,Level 1,Commuter
User_122,BMW i3,75,Station_284,Los Angeles,01/06/2024 1:00,01/06/2024 3:11,39.64,1.93,13.8,6.97,Afternoon,Wednesday,20.42,57.5,,22.57,6,Level 2,Casual Driver
User_123,Hyundai Kona,62,Station_209,Chicago,01/06/2024 2:00,01/06/2024 5:47,24.85,3.32,32.24,19.91,Morning,Wednesday,60.67,53.93,260.71,11.2,3,DC Fast Charger,Casual Driver
User_124,Chevy Bolt,50,Station_320,Chicago,01/06/2024 3:00,01/06/2024 5:15,7.52,3.42,10.62,34.76,Night,Sunday,61.76,83.21,126.59,9.79,6,Level 1,Casual Driver
User_125,Tesla Model 3,75,Station_494,Houston,01/06/2024 4:00,01/06/2024 7:42,64.42,3.19,24.62,29,Evening,Friday,49.17,62.34,230.49,25.32,2,Level 1,Long-Distance Traveler
User_126,BMW i3,85,Station_187,New York,01/06/2024 5:00,01/06/2024 6:29,6.19,1.29,19.72,20.86,Afternoon,Friday,34.6,101.68,275.74,5.73,1,Level 1,Casual Driver
User_127,Hyundai Kona,100,Station_498,New York,01/06/2024 6:00,01/06/2024 7:15,37.79,3.62,36,29.12,Afternoon,Monday,88.04,61.07,66,-0.33,1,DC Fast Charger,Casual Driver
User_128,BMW i3,85,Station_442,San Francisco,01/06/2024 7:00,01/06/2024 8:05,9.15,2.58,34.05,27.67,Evening,Tuesday,71.45,50.02,223.1,-1.09,1.75,DC Fast Charger,Long-Distance Traveler
User_129,Hyundai Kona,93.27,Station_130,Los Angeles,01/06/2024 8:00,01/06/2024 11:35,15.66,3.14,7.7,32.14,Afternoon,Wednesday,30.88,51.48,202.14,29.54,2,DC Fast Charger,Long-Distance Traveler
User_130,Hyundai Kona,50,Station_127,Houston,01/06/2024 9:00,01/06/2024 12:53,35.55,3.54,45.86,23.37,Night,Tuesday,85.49,74.66,275.57,26.13,4,Level 1,Commuter
User_131,Chevy Bolt,100,Station_292,Los Angeles,01/06/2024 10:00,01/06/2024 13:15,47.53,3.8,14.33,31.1,Afternoon,Tuesday,59.93,81.18,139.38,18.98,3,Level 2,Commuter
